;path;class;class_name;height;width
0;Training/pituitary/Tr-pi_0482.jpg;3;pituitary;512;512
1;Training/pituitary/Tr-pi_0460.jpg;3;pituitary;512;512
2;Training/pituitary/Tr-pi_0481.jpg;3;pituitary;512;512
3;Training/pituitary/Tr-pi_0462.jpg;3;pituitary;512;512
4;Training/pituitary/Tr-pi_0478.jpg;3;pituitary;512;512
5;Training/pituitary/Tr-pi_0475.jpg;3;pituitary;512;512
6;Training/pituitary/Tr-pi_0471.jpg;3;pituitary;512;512
7;Training/pituitary/Tr-pi_0463.jpg;3;pituitary;512;512
8;Training/pituitary/Tr-pi_0464.jpg;3;pituitary;512;512
9;Training/pituitary/Tr-pi_0458.jpg;3;pituitary;512;512
10;Training/pituitary/Tr-pi_0473.jpg;3;pituitary;512;512
11;Training/pituitary/Tr-pi_0480.jpg;3;pituitary;512;512
12;Training/pituitary/Tr-pi_0472.jpg;3;pituitary;512;512
13;Training/pituitary/Tr-pi_0465.jpg;3;pituitary;512;512
14;Training/pituitary/Tr-pi_0459.jpg;3;pituitary;512;512
15;Training/pituitary/Tr-pi_0456.jpg;3;pituitary;512;512
16;Training/pituitary/Tr-pi_0470.jpg;3;pituitary;512;512
17;Training/pituitary/Tr-pi_0457.jpg;3;pituitary;512;512
18;Training/pituitary/Tr-pi_0454.jpg;3;pituitary;512;512
19;Training/pituitary/Tr-pi_0453.jpg;3;pituitary;512;512
20;Training/pituitary/Tr-pi_0455.jpg;3;pituitary;512;512
21;Training/pituitary/Tr-pi_0474.jpg;3;pituitary;512;512
22;Training/pituitary/Tr-pi_0476.jpg;3;pituitary;512;512
23;Training/pituitary/Tr-pi_0468.jpg;3;pituitary;512;512
24;Training/pituitary/Tr-pi_0466.jpg;3;pituitary;512;512
25;Training/pituitary/Tr-pi_0483.jpg;3;pituitary;512;512
26;Training/pituitary/Tr-pi_0467.jpg;3;pituitary;512;512
27;Training/pituitary/Tr-pi_0513.jpg;3;pituitary;512;512
28;Training/pituitary/Tr-pi_0491.jpg;3;pituitary;512;512
29;Training/pituitary/Tr-pi_0507.jpg;3;pituitary;512;512
30;Training/pituitary/Tr-pi_0484.jpg;3;pituitary;512;512
31;Training/pituitary/Tr-pi_0497.jpg;3;pituitary;512;512
32;Training/pituitary/Tr-pi_0489.jpg;3;pituitary;512;512
33;Training/pituitary/Tr-pi_0510.jpg;3;pituitary;512;512
34;Training/pituitary/Tr-pi_0506.jpg;3;pituitary;512;512
35;Training/pituitary/Tr-pi_0502.jpg;3;pituitary;512;512
36;Training/pituitary/Tr-pi_0504.jpg;3;pituitary;512;512
37;Training/pituitary/Tr-pi_0500.jpg;3;pituitary;512;512
38;Training/pituitary/Tr-pi_0503.jpg;3;pituitary;512;512
39;Training/pituitary/Tr-pi_0501.jpg;3;pituitary;512;512
40;Training/pituitary/Tr-pi_0517.jpg;3;pituitary;512;512
41;Training/pituitary/Tr-pi_0516.jpg;3;pituitary;512;512
42;Training/pituitary/Tr-pi_0508.jpg;3;pituitary;512;512
43;Training/pituitary/Tr-pi_0485.jpg;3;pituitary;512;512
44;Training/pituitary/Tr-pi_0498.jpg;3;pituitary;512;512
45;Training/pituitary/Tr-pi_0499.jpg;3;pituitary;512;512
46;Training/pituitary/Tr-pi_0486.jpg;3;pituitary;512;512
47;Training/pituitary/Tr-pi_0487.jpg;3;pituitary;512;512
48;Training/pituitary/Tr-pi_0496.jpg;3;pituitary;512;512
49;Training/pituitary/Tr-pi_0494.jpg;3;pituitary;512;512
